Title|Company|Location|Link|job_time
Data Analyst|Archer - The IT Recruitment Consultancy|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-archer-the-it-recruitment-consultancy-3353901929?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=EpYszvk40NkorY24u7FyGw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-10
Data Analyst|Réalta Associates|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-r%C3%A9alta-associates-3356324249?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=i%2FW6OK5j8v01WocBmETEVQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-14
Data Analyst - Various Levels|Turner & Townsend|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-various-levels-at-turner-townsend-3349488603?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=t6XnzKafij3oJuVVV2OGhw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-07
Data Analyst|Archer - The IT Recruitment Consultancy|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-archer-the-it-recruitment-consultancy-3360033395?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=09aeAg0BGa6QM%2BxTi5X99w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-14
Data Analyst|UCD Professional Academy|Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-ucd-professional-academy-3365161097?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=gZKv%2BNQYM5FJAO9J1CB3Dw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-21
Data Analyst|Customer Management Resourcing Group (CMR)|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-customer-management-resourcing-group-cmr-3348576020?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=PyhC4vU6yxHgu72FiCEpOQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-09
Data Analyst|Brightwater|County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-brightwater-3334567084?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=I5oydmmhRDvnnS7xEi1Z3w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-02
Junior Data Analyst|Archer - The IT Recruitment Consultancy|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/junior-data-analyst-at-archer-the-it-recruitment-consultancy-3361105385?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=41f0%2BhH6o6yqnv%2BvdYgOUw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-15
Data Analyst - Commercial|Primark|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-commercial-at-primark-3235151860?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=RXBJDJw%2BwOnJSKp2%2FKg2KQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-17
Data Analyst|Sabeo|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-sabeo-3346707568?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=93XsX00Fpuy4w6pcgROTFA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-07
Data Analyst, Accounting Analytics|Eventbrite|Ireland|https://ie.linkedin.com/jobs/view/data-analyst-accounting-analytics-at-eventbrite-3329901251?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=WmkiwtiKI4OaLnJk1Lw3UQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-18
Data Analyst|ICE|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-ice-3346068487?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=Z4i8F7IWaLGDMPoUpdmyRw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-07
Data Analyst|ICE|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-ice-3321469751?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=x5R6uyPGBceUlEAZyLruzQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-11
Data Analyst - Customer Intelligence-1|Mastercard|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-customer-intelligence-1-at-mastercard-3365675297?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=v2HJxVdnkwxfb7Zd90tUKA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:09.526037
Data Analyst|Sabeo|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-sabeo-3346744265?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=gO2zq70mbCWAq9gvFL4EBw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-07
Data Analyst|Oliver James|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-oliver-james-3343645031?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=a1fGH4jQS0a%2F4zyt%2FA71HA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-10-26
Data Analsyt|Morgan McKinley|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analsyt-at-morgan-mckinley-3317391693?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=IcPbH4NBhPZv2%2BO3ijslvA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-10-24
Data Analyst|ICE|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-ice-3296376587?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=liJc%2Ba7ZOHfGtj%2FNlWtVwQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-15
Data Analyst|U.S. Bank|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-u-s-bank-3333221222?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=3vpPxUC5HzxnQvOjhLqHrA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-10-27
Data Insights Analyst|CarTrawler|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-insights-analyst-at-cartrawler-3343577006?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=I5N5d87ty9XRD7jpCDzGuA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-09
